Close (BTC),Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
120172.90625,72803657984,4590.9248046875,57237189036,0.9998049736022949,145454707320,832.9265747070312,2889217820
123344.0625,90904808795,4756.27587890625,62550014642,1.000357985496521,176174405839,849.0054931640625,3364649534
118359.578125,104055627395,4548.16650390625,75681632806,1.0006519556045532,209961673553,840.9309692382812,4687490471
117398.3515625,68665353159,4439.98876953125,55445715824,1.0006330013275146,136081976828,827.2891845703125,3843113557
117491.3515625,48036922378,4426.18017578125,26816931514,1.0006309747695923,78429925390,839.3980712890625,1960223183
117453.0625,45852169525,4473.271484375,31348101438,1.0006550550460815,84634710709,856.4029541015625,2286889646
116252.3125,72787808090,4312.5048828125,53518423360,1.0004750490188599,135590930861,847.4179077148438,2765082388
112831.1796875,71657600353,4073.464111328125,50440367102,1.0002080202102661,133667632358,823.56591796875,2718797059
114274.7421875,67993811526,4334.50048828125,49577862965,1.000054955482483,128830738720,869.1038818359375,3612563758
112419.03125,57817883700,4223.2099609375,33618359942,0.9996449947357178,99705745364,839.0408325195312,2848998239
116874.0859375,82528088240,4831.3486328125,75965521535,0.9997140169143677,177968789836,898.7745361328125,3534039226
115374.328125,55377142586,4776.09033203125,36503623278,0.9995710253715515,106830359561,880.046142578125,2470653598
113458.4296875,73961489632,4779.6474609375,52405003873,0.9998869895935059,144846575399,876.0802001953125,2909070734
110124.3515625,85706860190,4372.98779296875,63936163545,1.0001230239868164,168636919245,840.1719360351562,3300479072
111802.65625,69396320317,4600.4267578125,53829747706,1.0003160238265991,138436111431,863.6304931640625,2609863400
111222.0625,62137056409,4503.39306640625,43509902322,1.0000590085983276,120312328281,855.6463012695312,2391188252
112544.8046875,58860155962,4507.177734375,36045274078,1.0000410079956055,110437549759,874.3660278320312,2744315947
108410.8359375,77843379644,4360.15283203125,46899991962,1.0001460313796997,142155878479,863.2765502929688,2614507748
108808.0703125,51486264208,4374.1533203125,25883112278,1.0000569820404053,82307848032,862.4039916992188,2030968355
108236.7109375,47986191770,4390.01904296875,26683044984,1.000059962272644,81269306867,857.8167724609375,1741117798
109250.59375,66870372995,4314.47021484375,37530746508,1.000046968460083,122614755607,845.8262939453125,2756614903
111200.5859375,74776999491,4325.36572265625,39884692334,0.9999970197677612,125812940916,851.7772216796875,2385434736
111723.2109375,61119643565,4450.38916015625,35260873497,1.0005710124969482,106189144879,855.2587890625,1915348780
110723.6015625,60131132901,4298.744140625,34919798552,1.0003060102462769,102212994424,843.802978515625,1915009280
110650.984375,60241647677,4306.98876953125,44163736676,0.9999499917030334,132146186478,849.979248046875,2025139739
110224.6953125,21500719036,4274.2421875,18108246446,1.0002219676971436,63681768081,861.7720947265625,1992250771
111167.6171875,24618007520,4305.34765625,17426783536,1.0000929832458496,70719934554,880.613037109375,1996378716
112071.4296875,40212813407,4308.072265625,32277142378,0.9999060034751892,114790407663,878.2759399414062,2289021738
111530.546875,45984480722,4309.04150390625,30703320925,1.0000649690628052,124541484302,880.0150146484375,1795168603
113955.359375,56377473784,4349.14599609375,39521365146,1.0001380443572998,133101421364,893.5665893554688,2868650920
115507.5390625,45685065332,4461.2333984375,35959212991,1.0002659559249878,121507255807,902.9833374023438,2250551806
116101.578125,54785725894,4715.24609375,43839753626,1.0006179809570312,141338448172,925.0307006835938,2648100391
115950.5078125,34549454947,4668.1796875,34843845977,1.000319004058838,119042646333,933.899658203125,2744192106
115407.65625,32798036057,4609.59765625,28394160275,1.0005279779434204,105982674402,927.24169921875,2338327311
115444.875,52937859416,4526.8203125,40224062009,1.0003299713134766,139213508847,919.97021484375,2475846477
116843.1875,45781744593,4503.564453125,32761501436,1.0004240274429321,116631704617,955.7125854492188,3101245055
116468.5078125,60528025996,4592.7333984375,44120899417,1.0004500150680542,154274220391,990.3097534179688,3641636248
117137.203125,49457272032,4589.9189453125,33497259158,1.0001269578933716,142240779824,981.835205078125,3741252935
115688.859375,38828473971,4470.9169921875,30352619653,1.0005459785461426,112173044138,984.1240844726562,3293771895
115721.9609375,22864449614,4482.265625,18056494322,1.0003759860992432,78464789723,1042.650146484375,3759046572
115306.09375,22495852193,4451.3291015625,19330306133,1.0004229545593262,84579518480,1048.67236328125,4306431415
112748.5078125,70684158591,4202.87744140625,58221334533,1.0009779930114746,192241730378,993.0140380859375,4892903256
112014.5,47211853279,4165.50390625,32460075911,1.0001620054244995,129756252249,1017.0198974609375,4038510425
113328.6328125,48044595085,4153.46923828125,33538388785,1.000264048576355,127933462579,1018.8478393554688,3603925585
109049.2890625,75528654284,3868.333984375,68963092031,1.0004709959030151,201897993979,945.713623046875,4693762081
109712.828125,57738288949,4035.887939453125,47873508328,1.0004780292510986,154341516007,960.9239501953125,3789703570
109681.9453125,26308042910,4018.658203125,20382555776,1.0004600286483765,83168656412,968.78955078125,2777184185
112122.640625,33371048505,4141.4765625,24631307054,1.000349998474121,92130856740,993.3155517578125,2519459113
114400.3828125,60000147466,4217.341796875,38560429932,1.000560998916626,149598657209,1030.7412109375,3359320684
114056.0859375,58986330258,4145.95751953125,37679153330,1.0000959634780884,141617176980,1008.4834594726562,3076619211
118648.9296875,71328680132,4351.1123046875,46161664723,1.0005110502243042,160344508086,1026.166748046875,3100184262
120681.2578125,71415163912,4487.923828125,48074066058,1.000707983970642,169486978125,1090.6556396484375,3813163059
122266.53125,83941392228,4514.87060546875,49603450230,1.0004940032958984,180715556425,1189.9190673828125,6097241167
122425.4296875,36769171735,4489.197265625,21832270764,1.0003459453582764,99382972258,1150.547607421875,3775482131
123513.4765625,73689317763,4515.4228515625,44880806324,1.0001980066299438,158608091665,1165.527587890625,3611451465
124752.53125,72568881188,4687.771484375,44992456374,1.0002150535583496,168375378432,1223.5810546875,5653272930
121451.3828125,76149412513,4451.15185546875,54879425294,1.0004700422286987,192783487489,1310.21435546875,11163171147
123354.8671875,65354305286,4527.64794921875,40456628235,1.0003169775009155,158618584990,1306.599365234375,7916662087
121705.5859375,74653009425,4369.1435546875,47903074596,1.000491976737976,174554495070,1255.890625,8172167891
113214.3671875,153125018868,3843.0087890625,97736621123,1.001755952835083,344398037459,1106.8985595703125,10329526518
110807.8828125,110236934340,3750.611572265625,62475475938,1.0010730028152466,253479630144,1137.1993408203125,8101403820
115169.765625,93710414091,4164.427734375,61216174681,1.0012569427490234,217858899877,1303.1173095703125,10201040572
115271.078125,71582026739,4245.4677734375,50253782420,1.001013994216919,193528248672,1293.4732666015625,11820387271
113118.6640625,92212917403,4125.412109375,67094148347,1.0005470514297485,221236832633,1211.0511474609375,10106588255
